"tune.args","fold","auc.val","auc.diff","cbi.val","or.mtp","or.10p"
"fc.LQH_rm.2.5",3,0.783603214753673,0.0349886050715752,0.757,0,0.13953488372093
"fc.LQH_rm.2.5",4,0.862076674413489,0.0662746158450208,0.64,0,0
"fc.LQHP_rm.2.5",1,0.697599678618058,0.160719217635834,0.717,0,0.255813953488372
"fc.LQHP_rm.2.5",2,0.838215956520013,0.0785160437701885,0.888,0,0
"fc.LQHP_rm.2.5",3,0.752504373457028,0.0895092538905666,0.743,0.116279069767442,0.162790697674419
"fc.LQHP_rm.2.5",4,0.88150589619258,0.0844754224664965,0.657,0,0
"fc.L_rm.3.5",1,0.431611744454643,0.328302762927098,-0.533,0,0.627906976744186
"fc.L_rm.3.5",2,0.747778237117279,0.116597362481344,0.654,0,0
"fc.L_rm.3.5",3,0.693244906586695,0.0484935695875988,0.52,0,0.0232558139534884
"fc.L_rm.3.5",4,0.725142025076751,0.0688600594256675,-0.073,0,0
"fc.LQ_rm.3.5",1,0.564015966329636,0.233470255674984,0.037,0.0232558139534884,0.255813953488372
"fc.LQ_rm.3.5",2,0.762368883875082,0.104309933513527,0.67,0,0
"fc.LQ_rm.3.5",3,0.70833070575568,0.0291304571868336,0.675,0,0.0697674418604651
"fc.LQ_rm.3.5",4,0.856261775648199,0.134588889059409,0.728,0,0
"fc.H_rm.3.5",1,0.660769214599522,0.187471972505027,0.665,0,0.27906976744186
"fc.H_rm.3.5",2,0.817108917181088,0.0657730950207988,0.927,0,0.0232558139534884
"fc.H_rm.3.5",3,0.782526491821811,0.0226670905825281,0.814,0.0232558139534884,0.0697674418604651
"fc.H_rm.3.5",4,0.884052305396953,0.101976112518647,0.957,0,0
"fc.LQH_rm.3.5",1,0.648511856798186,0.196641050704074,0.585,0,0.27906976744186
"fc.LQH_rm.3.5",2,0.802831244117146,0.0843821473761593,0.726,0,0
"fc.LQH_rm.3.5",3,0.791210344014145,0.00223035725129683,0.801,0,0.0465116279069767
"fc.LQH_rm.3.5",4,0.843168689448063,0.0594141295990224,0.684,0,0
"fc.LQHP_rm.3.5",1,0.687579849165365,0.162896731380985,0.672,0,0.255813953488372
"fc.LQHP_rm.3.5",2,0.826764389199138,0.0748361760074132,0.882,0,0
"fc.LQHP_rm.3.5",3,0.761066773171148,0.0714136740016956,0.675,0.116279069767442,0.162790697674419
"fc.LQHP_rm.3.5",4,0.862466406526459,0.0724039581969633,0.768,0,0
