"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef","delta.AICc_40","w.AIC_40"
"H",0.5,"fc.H_rm.0.5",0.848127192982456,0.944,0.13109082763391,0.0873552683613809,0.748836278539294,0.0830370157421808,0.593,0.286720537573901,0.145348837209302,0.168102701102337,0.063953488372093,0.112936451816538,3812.72141408872,33.6905546090784,4.02620276506831e-08,41,44.10409099862,2.63069098357459e-10
"H",1.5,"fc.H_rm.1.5",0.827802631578947,0.981,0.116631044305063,0.0727619224878295,0.766787149121939,0.0954282867579613,0.5725,0.19701522783785,0.133720930232558,0.154699240647094,0.0290697674418605,0.0348837209302326,3817.10658960083,38.0757301211866,4.49434988512712e-09,24,48.48926651073,2.93657483483003e-11
"LQH",0.5,"fc.LQH_rm.0.5",0.847921929824561,0.942,0.127209917020421,0.0914487517559728,0.750364152856819,0.0832129082232222,0.60775,0.311118814388758,0.156976744186047,0.169171727463529,0.0755813953488372,0.12213915702782,3819.40373225336,40.3728727737116,1.42511099302368e-09,43,50.78640916326,9.31156938357532e-12
"LQH",1.5,"fc.LQH_rm.1.5",0.82912134502924,0.989,0.112359679815692,0.0789076235384273,0.765985472735481,0.093521481330507,0.57525,0.240972162984303,0.133720930232558,0.157012628686272,0.0290697674418605,0.0348837209302326,3820.12992925739,41.0990697777488,9.9119023393009e-10,26,51.51260616729,6.47636337153883e-12
"H",2,"fc.H_rm.2",0.820941228070175,0.976,0.111167065433711,0.0638054757851632,0.775269918038659,0.0949115619148642,0.63825,0.192370086032106,0.122093023255814,0.143829266009918,0,0,3826.00429292733,57.3869698372314,3.45602044947396e-13,21,57.38696983723,3.43343906854247e-13
"H",3,"fc.H_rm.3",0.815040643274854,0.973,0.0968750454274511,0.0658755940636311,0.782876304495391,0.0916073205512861,0.78975,0.0915109283091369,0.0930232558139535,0.12737733895469,0.00581395348837209,0.0116279069767442,3826.7906933676,58.1733702774959,2.33244610621782e-13,14,58.1733702775,2.31720607658878e-13
"H",2.5,"fc.H_rm.2.5",0.816674269005848,0.971,0.106162639118517,0.0630469868476302,0.779631199447453,0.0959092483824328,0.71375,0.111482061337239,0.104651162790698,0.133594480152047,0,0,3826.95499847124,47.9241389916006,3.26672115696266e-11,17,58.3376753811399,2.13445134160748e-13
"H",3.5,"fc.H_rm.3.5",0.813593859649123,0.975,0.0944720676567503,0.0699639877700584,0.786114232249843,0.0935891411024698,0.84075,0.132359044521584,0.0930232558139535,0.12737733895469,0.00581395348837209,0.0116279069767442,3828.96638357816,49.9355240985137,1.19493790789806e-11,12,60.3490604880599,7.80763554062689e-14
"LQH",3,"fc.LQH_rm.3",0.813521929824561,0.984,0.0913642118831099,0.0812478517247017,0.774675576491408,0.0907204190582942,0.6405,0.158007383793712,0.0930232558139535,0.131554749988195,0,0,3830.73462698969,62.1173038995917,3.24636474344975e-14,16,62.1173038995898,3.22515323733062e-14
"LQH",2,"fc.LQH_rm.2",0.821233040935673,0.982,0.104219929512499,0.0792353692595663,0.775447614560527,0.0970868431492428,0.66525,0.223019244311636,0.104651162790698,0.133594480152047,0,0,3831.19489706142,62.577573971324,2.57899759396433e-14,24,62.5775739713199,2.56214661523604e-14
"LQH",2.5,"fc.LQH_rm.2.5",0.815768128654971,0.98,0.10056682602482,0.0791272960235041,0.775719600226795,0.0970329001171812,0.701,0.151848608818125,0.104651162790698,0.133594480152047,0,0,3833.18465603654,54.1537965568973,1.44997032095748e-12,20,64.5673329464403,9.47399838598616e-15
